Date,Product,Category,Region,Channel,Quantity,Unit_Price,Discount,Sales
2018-04-10,Diazepam,N05B,West,Online,49.0,12.82,0.0,628.18
2019-06-09,Paracetamol,N02BE,Central,Clinic,37.0,111.3,0.0,4118.1
2018-04-19,Salmeterol,R03,Central,Hospital,34.0,111.42,0.0,3788.28
2017-07-06,Triazolam,N05C,Central,Clinic,33.0,90.02,0.0,2970.66
2015-10-10,Ibuprofen,M01AE,East,Clinic,55.0,96.52,0.0,5308.6
2019-09-16,Alprazolam,N05B,Central,Pharmacy,73.0,7.25,0.2,423.4
2017-01-29,Salbutamol,R03,,Pharmacy,38.0,90.81,0.05,3278.24
2014-12-22,Indomethacin,M01AB,Central,Online,58.0,116.47,0.15,5741.97
2016-02-27,Diflunisal,N02BA,Central,Pharmacy,40.0,23.42,0.1,843.12
2016-06-03,Paracetamol,N02BE,North,Pharmacy,34.0,80.83,0.2,2198.58
2015-05-01,Cetirizine,R06,North,Pharmacy,44.0,99.4,0.0,4373.6
2019-03-27,Salbutamol,R03,West,Online,57.0,115.55,0.0,6586.35
2017-12-04,Etodolac,M01AB,North,Online,21.0,55.35,0.2,929.88
2016-07-30,Phenacetin,N02BE,Central,Online,44.0,110.52,0.05,4619.74
2015-06-20,Propacetamol,N02BE,Central,Pharmacy,62.0,56.02,0.0,3473.24
2018-11-25,Ketoprofen,M01AE,North,Online,68.0,59.69,0.05,3855.97
2018-10-15,Propacetamol,N02BE,East,Online,5.0,30.84,0.05,146.49
2015-04-17,Cetirizine,R06,South,Pharmacy,63.0,84.79,0.15,4540.5
2014-09-19,Zolpidem,N05C,Central,Clinic,59.0,73.4,0.15,3681.01
2017-05-20,Salbutamol,R03,North,Hospital,52.0,34.51,0.15,1525.34
2014-08-01,Fexofenadine,R06,Central,Clinic,59.0,77.69,0.1,4125.34
2017-03-07,Salbutamol,R03,North,Clinic,31.0,17.56,0.2,435.49
2015-08-26,Nitrazepam,N05C,South,Clinic,72.0,32.8,0.0,2361.6
